Column 1,Column 2,Correlation
Basic_Demos-Age,Physical-Height,0.8768509176470402
Physical-BMI,Physical-Weight,0.8604777875090348
Fitness_Endurance-Max_Stage,Fitness_Endurance-Time_Mins,0.8984517896204209
FGC-FGC_GSND,FGC-FGC_GSD,0.8997213113225653
FGC-FGC_SRL,FGC-FGC_SRR,0.914580926140525
BIA-BIA_BMC,BIA-BIA_BMR,0.9522973763161112
BIA-BIA_BMC,BIA-BIA_DEE,0.9144087514957234
BIA-BIA_BMC,BIA-BIA_ECW,0.9593577346206266
BIA-BIA_BMC,BIA-BIA_FFM,0.9522975638954252
BIA-BIA_BMC,BIA-BIA_Fat,-0.952354902597702
BIA-BIA_BMC,BIA-BIA_ICW,0.9137986065076383
BIA-BIA_BMC,BIA-BIA_LDM,0.9684236487064578
BIA-BIA_BMC,BIA-BIA_LST,0.8561798512815127
BIA-BIA_BMC,BIA-BIA_SMM,0.8617159123748624
BIA-BIA_BMC,BIA-BIA_TBW,0.9419209569790024
BIA-BIA_BMR,BIA-BIA_DEE,0.9904582119402151
BIA-BIA_BMR,BIA-BIA_ECW,0.9988284225466494
BIA-BIA_BMR,BIA-BIA_FFM,0.9999999999989121
BIA-BIA_BMR,BIA-BIA_Fat,-0.9811413311025251
BIA-BIA_BMR,BIA-BIA_ICW,0.9933491857347326
BIA-BIA_BMR,BIA-BIA_LDM,0.9976885790545796
BIA-BIA_BMR,BIA-BIA_LST,0.9730132517501602
BIA-BIA_BMR,BIA-BIA_SMM,0.9728780615237366
BIA-BIA_BMR,BIA-BIA_TBW,0.9993459093721678
BIA-BIA_DEE,BIA-BIA_ECW,0.9859045787962187
BIA-BIA_DEE,BIA-BIA_FFM,0.9904581588640498
BIA-BIA_DEE,BIA-BIA_Fat,-0.9703965083426855
BIA-BIA_DEE,BIA-BIA_ICW,0.9947060470932609
BIA-BIA_DEE,BIA-BIA_LDM,0.9826650277411019
BIA-BIA_DEE,BIA-BIA_LST,0.9855070020446588
BIA-BIA_DEE,BIA-BIA_SMM,0.9844093759406467
BIA-BIA_DEE,BIA-BIA_TBW,0.9927394034126773
BIA-BIA_ECW,BIA-BIA_FFM,0.9988284414050136
BIA-BIA_ECW,BIA-BIA_Fat,-0.9787439631298301
BIA-BIA_ECW,BIA-BIA_ICW,0.9880632920988066
BIA-BIA_ECW,BIA-BIA_LDM,0.9975118679983139
BIA-BIA_ECW,BIA-BIA_LST,0.9656911326155888
BIA-BIA_ECW,BIA-BIA_SMM,0.9636496349991976
BIA-BIA_ECW,BIA-BIA_TBW,0.9976470763359877
BIA-BIA_FFM,BIA-BIA_Fat,-0.9811413503773312
BIA-BIA_FFM,BIA-BIA_ICW,0.9933491176745596
BIA-BIA_FFM,BIA-BIA_LDM,0.9976886162022252
BIA-BIA_FFM,BIA-BIA_LST,0.9730131099166365
BIA-BIA_FFM,BIA-BIA_SMM,0.9728779206658859
BIA-BIA_FFM,BIA-BIA_TBW,0.9993458896034493
BIA-BIA_FFMI,BIA-BIA_FMI,-0.9523458652275936
BIA-BIA_Fat,BIA-BIA_ICW,-0.9702337742736515
BIA-BIA_Fat,BIA-BIA_LDM,-0.9838464306965803
BIA-BIA_Fat,BIA-BIA_LST,-0.9410405821187315
BIA-BIA_Fat,BIA-BIA_SMM,-0.9514301030845708
BIA-BIA_Fat,BIA-BIA_TBW,-0.9778531037784697
BIA-BIA_ICW,BIA-BIA_LDM,0.9842878245959634
BIA-BIA_ICW,BIA-BIA_LST,0.9908630030321984
BIA-BIA_ICW,BIA-BIA_SMM,0.9912226098498307
BIA-BIA_ICW,BIA-BIA_TBW,0.9962998350451182
BIA-BIA_LDM,BIA-BIA_LST,0.9569062935145126
BIA-BIA_LDM,BIA-BIA_SMM,0.9583570860722059
BIA-BIA_LDM,BIA-BIA_TBW,0.9945786540967881
BIA-BIA_LST,BIA-BIA_SMM,0.9955851504300057
BIA-BIA_LST,BIA-BIA_TBW,0.9797517464971962
BIA-BIA_SMM,BIA-BIA_TBW,0.9787728137649965
SDS-SDS_Total_Raw,SDS-SDS_Total_T,0.9976169461120468
Basic_Demos-Enroll_Season_Spring,PreInt_EduHx-Season_Spring,0.9259753831333448
Basic_Demos-Enroll_Season_Summer,PreInt_EduHx-Season_Summer,0.9352080803981231
Basic_Demos-Enroll_Season_Winter,PreInt_EduHx-Season_Winter,0.9362841521995054
